date,home_team,away_team,home_goals,away_goals,season,winner
20210114,NYR,NYI,0.0,4.0,2020,away
20210116,NYR,NYI,5.0,0.0,2020,home
20210119,NYR,N.J,3.0,4.0,2020,away
20210130,NYR,PIT,4.0,5.0,2020,away
20210201,NYR,PIT,3.0,1.0,2020,home
20210204,NYR,WSH,4.0,2.0,2020,home
20210208,NYR,NYI,0.0,2.0,2020,away
20210210,NYR,BOS,2.0,3.0,2020,away
20210212,NYR,BOS,0.0,1.0,2020,away
20210216,NYR,N.J,2.0,5.0,2020,away
20210226,NYR,BOS,6.0,2.0,2020,home
20210228,NYR,BOS,1.0,4.0,2020,away
20210302,NYR,BUF,3.0,2.0,2020,home
20210315,NYR,PHI,4.0,5.0,2020,away
20210317,NYR,PHI,9.0,0.0,2020,home
20210322,NYR,BUF,5.0,3.0,2020,home
20210330,NYR,WSH,5.0,2.0,2020,home
20210406,NYR,PIT,8.0,4.0,2020,home
20210408,NYR,PIT,2.0,5.0,2020,away
20210415,NYR,N.J,4.0,0.0,2020,home
20210417,NYR,N.J,6.0,3.0,2020,home
20210422,NYR,PHI,2.0,3.0,2020,away
20210423,NYR,PHI,4.0,1.0,2020,home
20210425,NYR,BUF,6.0,3.0,2020,home
20210427,NYR,BUF,3.0,1.0,2020,home
20210429,NYR,NYI,0.0,4.0,2020,away
20210503,NYR,WSH,3.0,6.0,2020,away
20210505,NYR,WSH,2.0,4.0,2020,away
20211014,NYR,DAL,2.0,3.0,2021,away
20211025,NYR,CGY,1.0,5.0,2021,away
20211029,NYR,CBJ,4.0,0.0,2021,home
20211108,NYR,FLA,4.0,3.0,2021,home
20211114,NYR,NJD,3.0,3.0,2021,away
20211116,NYR,MTL,3.0,2.0,2021,home
20211121,NYR,BUF,5.0,4.0,2021,home
20211201,NYR,PHI,4.0,1.0,2021,home
20211203,NYR,SJS,1.0,0.0,2021,home
20211204,NYR,CHI,3.0,2.0,2021,home
20211208,NYR,COL,3.0,7.0,2021,away
20211212,NYR,NSH,0.0,1.0,2021,away
20211217,NYR,VGK,2.0,2.0,2021,away
20220102,NYR,TBL,4.0,0.0,2021,home
20220103,NYR,EDM,4.0,1.0,2021,home
20220119,NYR,TOR,6.0,3.0,2021,home
20220122,NYR,ARI,7.0,3.0,2021,home
20220124,NYR,LAK,2.0,2.0,2021,away
20220128,NYR,MIN,2.0,3.0,2021,away
20220130,NYR,SEA,3.0,2.0,2021,home
20220201,NYR,FLA,5.0,2.0,2021,home
20220215,NYR,BOS,1.0,1.0,2021,away
20220217,NYR,DET,2.0,2.0,2021,away
20220224,NYR,WSH,4.0,1.0,2021,home
20220227,NYR,VAN,2.0,5.0,2021,away
20220302,NYR,STL,5.0,3.0,2021,home
20220304,NYR,NJD,3.0,1.0,2021,home
20220315,NYR,ANA,4.0,3.0,2021,home
20220317,NYR,NYI,1.0,2.0,2021,away
20220325,NYR,PIT,5.0,1.0,2021,home
20220327,NYR,BUF,5.0,4.0,2021,home
20220401,NYR,NYI,0.0,3.0,2021,away
20220403,NYR,PHI,3.0,3.0,2021,away
20220407,NYR,PIT,3.0,0.0,2021,home
20220409,NYR,OTT,5.0,1.0,2021,home
20220412,NYR,CAR,2.0,4.0,2021,away
20220416,NYR,DET,4.0,0.0,2021,home
20220419,NYR,WPG,3.0,0.0,2021,home
20220426,NYR,CAR,3.0,4.0,2021,away
20220427,NYR,MTL,3.0,4.0,2021,away
20220429,NYR,WSH,3.0,2.0,2021,home
20221011,NYR,TBL,3.0,1.0,2022,home
20221017,NYR,ANA,6.0,4.0,2022,home
20221020,NYR,SJS,2.0,3.0,2022,away
20221023,NYR,CBJ,1.0,5.0,2022,away
20221025,NYR,COL,2.0,2.0,2022,away
20221101,NYR,PHI,1.0,0.0,2022,home
20221103,NYR,BOS,2.0,5.0,2022,away
20221106,NYR,DET,2.0,3.0,2022,away
20221108,NYR,NYI,3.0,4.0,2022,away
20221113,NYR,ARI,4.0,1.0,2022,home
20221126,NYR,EDM,3.0,4.0,2022,away
20221128,NYR,NJD,3.0,5.0,2022,away
20221202,NYR,OTT,2.0,3.0,2022,away
20221203,NYR,CHI,2.0,5.0,2022,away
20221205,NYR,STL,6.0,4.0,2022,home
20221212,NYR,NJD,4.0,3.0,2022,home
20221215,NYR,TOR,3.0,1.0,2022,home
20221222,NYR,NYI,5.0,3.0,2022,home
20221227,NYR,WSH,0.0,4.0,2022,away
20230103,NYR,CAR,5.0,3.0,2022,home
20230110,NYR,MIN,3.0,3.0,2022,away
20230112,NYR,DAL,2.0,1.0,2022,home
20230115,NYR,MTL,1.0,2.0,2022,away
20230119,NYR,BOS,1.0,3.0,2022,away
20230123,NYR,FLA,6.0,2.0,2022,home
20230127,NYR,VGK,4.0,1.0,2022,home
20230206,NYR,CGY,5.0,4.0,2022,home
20230208,NYR,VAN,4.0,3.0,2022,home
20230210,NYR,SEA,6.0,3.0,2022,home
20230220,NYR,WPG,1.0,4.0,2022,away
20230226,NYR,LAK,5.0,2.0,2022,home
20230302,NYR,OTT,3.0,5.0,2022,away
20230314,NYR,WSH,5.0,3.0,2022,home
20230316,NYR,PIT,4.0,2.0,2022,home
20230318,NYR,PIT,6.0,0.0,2022,home
20230319,NYR,NSH,7.0,0.0,2022,home
20230321,NYR,CAR,2.0,3.0,2022,away
20230328,NYR,CBJ,6.0,2.0,2022,home
20230405,NYR,TBL,6.0,3.0,2022,home
20230410,NYR,BUF,2.0,2.0,2022,away
20230413,NYR,TOR,2.0,3.0,2022,away
20231016,NYR,ARI,2.0,1.0,2023,home
20231019,NYR,NSH,1.0,4.0,2023,away
20231102,NYR,CAR,2.0,1.0,2023,home
20231107,NYR,DET,5.0,3.0,2023,home
20231109,NYR,MIN,4.0,1.0,2023,home
20231112,NYR,CBJ,3.0,3.0,2023,away
20231125,NYR,BOS,7.0,4.0,2023,home
20231127,NYR,BUF,1.0,5.0,2023,away
20231129,NYR,DET,3.0,2.0,2023,home
20231203,NYR,SJS,6.0,5.0,2023,home
20231210,NYR,LAK,4.0,1.0,2023,home
20231212,NYR,TOR,3.0,7.0,2023,away
20231215,NYR,ANA,5.0,1.0,2023,home
20231222,NYR,EDM,3.0,4.0,2023,away
20231223,NYR,BUF,4.0,3.0,2023,home
20231227,NYR,WSH,5.0,1.0,2023,home
20240102,NYR,CAR,1.0,6.0,2023,away
20240104,NYR,CHI,4.0,1.0,2023,home
